Sleep_Minute,Heart_Rate_BPM
0,68.26721076037941
1,73.43599884974176
2,70.23433158667041
3,67.93542344181846
4,70.35716115809645
5,70.10032761012353
6,65.20001242225975
7,69.27648982833547
8,66.9439342955435
9,64.0718224055525
10,69.8687522903213
11,67.0355549555306
12,64.79918731664547
13,63.09488129740605
14,64.52414848178148
15,67.32510903235274
16,64.87733600733274
17,69.33777842193963
18,65.89699177150862
19,66.72798009994696
20,65.80063366502137
21,63.32574938727589
22,66.97127054678707
23,67.58094665032658
24,64.95342964554871
25,62.476522658338396
26,68.18231722738852
27,71.7920290308417
28,62.00815799871999
29,65.19613385190887
30,66.13473297878274
31,67.38757638978771
32,63.32826946829649
33,65.68266348359585
34,66.74002698228051
35,67.68073827127803
36,68.78240415292856
37,63.36780198458361
38,62.90378042643277
39,62.824705892770154
40,63.897879622896724
41,64.15734418611179
42,62.490900722911334
43,67.77729487696257
44,60.82750710445312
45,60.042153228557446
46,63.649620506430786
47,64.61382660205463
48,65.15715944338257
49,61.87153829458509
50,60.59391966074375
51,64.84900973957305
52,60.78719480140405
53,64.3221303716185
54,64.98290854940194
55,62.00452155924535
56,64.93411093811524
57,63.971220125744246
58,62.87184367555285
59,65.5321075490707
60,63.47570908702578
61,65.29170861655255
62,63.51645301630909
63,64.80934146800445
64,62.27791289474387
65,61.03451504132617
66,66.51284425964344
67,59.796775400044375
68,60.18988137103814
69,63.71787773389435
70,63.29919119211874
71,61.31073763433578
72,60.918415932424274
73,58.593964975346715
74,62.41572853289601
75,62.7184635956871
76,61.8304137999586
77,63.56243866401922
78,60.47516966567132
79,61.19521129592078
80,62.996511754790596
81,61.83202865382082
82,60.59678905101261
83,61.70766410136464
84,61.33359413000837
85,61.79419953846578
86,61.03785135456645
87,60.01535705899621
88,59.47857474767257
89,61.214889480130395
90,62.633731144575854
91,64.16584453289133
92,64.46883181661359
93,63.9569780679674
94,63.79691401489439
95,59.49653372430809
96,60.839955972426345
97,63.647864846753606
98,61.29317010402082
99,62.60517650061938
100,60.301661491091394
101,62.20341094478385
102,57.85962922140873
103,64.09836308351392
104,58.10342899429376
105,59.15462546830224
106,60.41351807931976
107,57.89953497312568
108,60.05315428951533
109,61.3069730876955
110,63.1194975909582
111,54.70257541067053
112,65.4096966957963
113,57.28266328797021
114,56.64908611446262
115,59.609956897939874
116,61.523384061782075
117,57.45030261795537
118,59.836583713725965
119,58.786907387926185
120,62.9683624233727
121,55.747324670381815
122,59.36790195585666
123,53.34525597230569
124,62.17981187842689
125,61.04794775484466
126,61.38551289078346
127,57.21427235699711
128,57.30271028204984
129,58.63940863247219
130,58.59886247609624
131,55.54475668523225
132,59.38233463418296
133,62.97967149400951
134,57.18743890142345
135,55.907299606282265
136,64.39544259765462
137,58.432113923992524
138,56.41050415103817
139,56.07560597836144
140,61.145805951818005
141,60.52681175856673
142,58.36194179522228
143,56.787475205234166
144,57.41950390544002
145,54.692405566639856
146,57.70934111028546
147,55.75634542653594
148,55.01702342769834
149,59.95251762583395
150,55.73237501209377
151,61.16475703766182
152,51.57641467094088
153,56.8698769660895
154,59.454457314912425
155,57.70210816035597
156,55.70994285987936
157,58.058864982614914
158,58.821579595908474
159,56.34439948366038
160,62.36891709967787
161,51.32667091785534
162,52.09006022220991
163,59.06391282904142
164,59.671848775688666
165,60.10312102437539
166,59.04548176065049
167,58.372126339327544
168,57.857136197460214
169,57.62869875421132
170,59.51705456846841
171,57.594749241527765
172,52.93101282244474
173,59.977223540286
174,56.818475865394866
175,57.53613769249846
176,58.44904546020241
177,57.6255727921731
178,54.93215869615199
179,57.17100726138684
180,59.350410344096645
181,55.718892049897256
182,57.40359141982447
183,57.90653366480802
184,56.76460738546485
185,53.25634921185041
186,57.429646636004705
187,55.18234519141895
188,56.42805638201387
189,55.430282777066225
190,59.33297990995074
191,56.64512677701873
192,55.78473614987374
193,56.81865868106753
194,56.18738501161621
195,36.15590347229158
196,42.51578390545662
